pecha id,language,url
P8269805E,en,https://github.com/OpenPecha/P8269805E
P5B9FEAF5,de,https://github.com/OpenPecha/P5B9FEAF5
P2321382E,es,https://github.com/OpenPecha/P2321382E
PB67957CD,fr,https://github.com/OpenPecha/PB67957CD
PE7E88EFF,it,https://github.com/OpenPecha/PE7E88EFF
P381E653A,nl,https://github.com/OpenPecha/P381E653A
P6A31A29B,pt,https://github.com/OpenPecha/P6A31A29B
PE2D01E24,zh,https://github.com/OpenPecha/PE2D01E24
PB78B7899,bo,https://github.com/OpenPecha/PB78B7899
